bus,lat,lon,carrier,capacity_mw,sub_id,sub_name,eia_plant_code,match_quality
6082,30.555288,-98.257593,hydro,19.8,753,MARBLE FALLS 1,3599.0,matched_all
6083,30.555288,-98.257593,hydro,19.8,753,MARBLE FALLS 1,3599.0,matched_all
6101,30.02547,-96.9945,gas,44.0,765,WINCHESTER,56674.0,matched_fuel
6104,30.02547,-96.9945,gas,44.0,765,WINCHESTER,56674.0,matched_fuel
6105,30.02547,-96.9945,gas,44.0,765,WINCHESTER,56674.0,matched_fuel
6106,30.02547,-96.9945,gas,44.0,765,WINCHESTER,56674.0,matched_fuel
6116,30.41477,-97.35701,battery,50.0,771,TAYLOR,65699.0,matched_all
6137,30.3899,-97.9073,hydro,36.0,790,AUSTIN 35,3600.0,matched_all
6137,30.3899,-97.9073,hydro,36.0,790,AUSTIN 35,3600.0,matched_all
6137,30.3899,-97.9073,hydro,36.0,790,AUSTIN 35,3600.0,matched_all
6155,29.271667,-98.444722,solar,40.7,799,SAN ANTONIO 26,58537.0,matched_all
6164,29.593056,-97.973215,gas,303.0,805,SEGUIN 1,55137.0,matched_fuel
6165,29.593056,-97.973215,gas,165.5,805,SEGUIN 1,55137.0,matched_all
6166,29.593056,-97.973215,gas,158.0,805,SEGUIN 1,55137.0,matched_all
6167,29.593056,-97.973215,gas,158.0,805,SEGUIN 1,55137.0,matched_all
6168,29.43445,-98.61765,battery,10.0,806,SAN ANTONIO 45,62609.0,matched_all
6175,30.2867,-97.7356,gas,46.5,810,AUSTIN 16,50118.0,matched_fuel
6175,30.2867,-97.7356,gas,33.0,810,AUSTIN 16,50118.0,matched_all
6175,30.2867,-97.7356,gas,27.6,810,AUSTIN 16,50118.0,matched_fuel
6175,30.2867,-97.7356,gas,26.1,810,AUSTIN 16,50118.0,matched_fuel
6182,29.3525,-98.5761,gas,46.0,816,SAN ANTONIO 38,3609.0,matched_fuel
6182,29.3525,-98.5761,gas,46.0,816,SAN ANTONIO 38,3609.0,matched_fuel
6182,29.3525,-98.5761,gas,46.0,816,SAN ANTONIO 38,3609.0,matched_fuel
6182,29.3525,-98.5761,gas,46.0,816,SAN ANTONIO 38,3609.0,matched_fuel
6213,30.556,-98.3384,hydro,27.0,840,MARBLE FALLS 2,3597.0,matched_all
6214,30.556,-98.3384,hydro,27.0,840,MARBLE FALLS 2,3597.0,matched_all
6233,30.3033,-97.6128,gas,52.0,854,AUSTIN 4,3548.0,matched_all
6233,30.3033,-97.6128,gas,52.0,854,AUSTIN 4,3548.0,matched_all
6233,30.3033,-97.6128,gas,52.0,854,AUSTIN 4,3548.0,matched_all
6233,30.3033,-97.6128,gas,52.0,854,AUSTIN 4,3548.0,matched_all
6242,29.308056,-98.3242,gas,420.0,858,ELMENDORF,3611.0,matched_all
6243,29.308056,-98.3242,gas,410.0,858,ELMENDORF,3611.0,matched_all
6254,30.2098,-97.6129,gas,47.3,863,AUSTIN 2,7900.0,matched_fuel
6254,30.2098,-97.6129,gas,47.3,863,AUSTIN 2,7900.0,matched_fuel
6254,30.2098,-97.6129,gas,47.3,863,AUSTIN 2,7900.0,matched_fuel
6254,30.2098,-97.6129,gas,47.3,863,AUSTIN 2,7900.0,matched_fuel
6257,30.2098,-97.6129,gas,161.0,863,AUSTIN 2,55168.0,matched_all
6258,30.2098,-97.6129,gas,151.0,863,AUSTIN 2,7900.0,matched_fuel
6259,30.2098,-97.6129,gas,47.3,863,AUSTIN 2,7900.0,matched_fuel
6260,30.2098,-97.6129,gas,47.3,863,AUSTIN 2,7900.0,matched_fuel
6277,29.875,-97.807,gas,18.4,870,KYLE,,no match
6277,29.875,-97.807,gas,18.4,870,KYLE,,no match
6277,29.875,-97.807,gas,18.4,870,KYLE,,no match
6277,29.875,-97.807,gas,18.4,870,KYLE,,no match
6277,29.875,-97.807,gas,18.4,870,KYLE,,no match
6277,29.875,-97.807,gas,18.4,870,KYLE,,no match
6277,29.875,-97.807,gas,18.4,870,KYLE,,no match
6277,29.875,-97.807,gas,18.4,870,KYLE,,no match
6277,29.875,-97.807,gas,18.4,870,KYLE,,no match
6277,29.875,-97.807,gas,18.4,870,KYLE,,no match
6295,30.1458,-97.55,gas,233.0,881,CEDAR CREEK 1,55168.0,matched_all
6296,30.1458,-97.55,gas,171.0,881,CEDAR CREEK 1,55168.0,matched_all
6297,30.1458,-97.55,gas,171.0,881,CEDAR CREEK 1,55168.0,matched_all
6301,29.7806,-97.9894,gas,231.0,882,NEW BRAUNFELS 1,55144.0,matched_all
6302,29.7806,-97.9894,gas,229.0,882,NEW BRAUNFELS 1,55144.0,matched_all
6303,29.7806,-97.9894,gas,228.0,882,NEW BRAUNFELS 1,55144.0,matched_all
6304,29.7806,-97.9894,gas,228.0,882,NEW BRAUNFELS 1,55144.0,matched_all
6329,28.871642,-97.696944,solar,10.0,900,NORDHEIM,64079.0,matched_all
7005,29.72475,-95.176479,gas,171.0,923,PASADENA 2,55047.0,matched_all
7006,29.72475,-95.176479,gas,171.0,923,PASADENA 2,55047.0,matched_all
7007,29.72475,-95.176479,gas,167.0,923,PASADENA 2,55047.0,matched_all
7008,29.72475,-95.176479,gas,166.0,923,PASADENA 2,55047.0,matched_all
7009,29.72475,-95.176479,gas,71.0,923,PASADENA 2,55047.0,matched_fuel
7021,28.8947,-97.135,gas,49.0,931,NURSERY,3631.0,matched_all
7022,28.8947,-97.135,gas,49.0,931,NURSERY,3631.0,matched_all
7023,28.8947,-97.135,gas,48.0,931,NURSERY,3631.0,matched_all
7024,28.8947,-97.135,gas,37.0,931,NURSERY,3631.0,matched_all
7029,28.5105,-96.7706,gas,15.0,935,PORT LAVACA,50150.0,matched_all
7029,28.5105,-96.7706,gas,15.0,935,PORT LAVACA,50150.0,matched_all
7029,28.5105,-96.7706,gas,12.0,935,PORT LAVACA,50150.0,matched_fuel
7031,28.5105,-96.7706,gas,30.0,935,PORT LAVACA,50150.0,matched_fuel
7032,28.5105,-96.7706,gas,30.0,935,PORT LAVACA,50150.0,matched_fuel
7033,28.5105,-96.7706,gas,30.0,935,PORT LAVACA,50150.0,matched_fuel
7034,28.5105,-96.7706,gas,15.0,935,PORT LAVACA,50150.0,matched_all
7045,28.7883,-97.01,gas,176.0,939,VICTORIA 2,3443.0,matched_all
7046,28.7883,-97.01,gas,112.0,939,VICTORIA 2,3443.0,matched_fuel
7054,29.883214,-95.111345,gas,43.0,945,HOUSTON 11,62548.0,matched_all
7054,29.883214,-95.111345,gas,43.0,945,HOUSTON 11,62548.0,matched_all
7058,28.6917,-96.5417,gas,58.0,948,POINT COMFORT 2,60459.0,matched_all
7058,28.6917,-96.5417,gas,47.3,948,POINT COMFORT 2,10554.0,matched_all
7058,28.6917,-96.5417,gas,38.0,948,POINT COMFORT 2,10554.0,matched_all
7058,28.6917,-96.5417,gas,32.0,948,POINT COMFORT 2,10554.0,matched_fuel
7058,28.6917,-96.5417,gas,28.5,948,POINT COMFORT 2,10554.0,matched_fuel
7061,28.6917,-96.5417,gas,97.0,948,POINT COMFORT 2,10554.0,matched_fuel
7062,28.6917,-96.5417,gas,97.0,948,POINT COMFORT 2,10554.0,matched_fuel
7063,28.6917,-96.5417,gas,72.0,948,POINT COMFORT 2,60459.0,matched_all
7064,28.6917,-96.5417,gas,72.0,948,POINT COMFORT 2,60459.0,matched_all
7065,28.6917,-96.5417,gas,72.0,948,POINT COMFORT 2,60459.0,matched_all
7066,28.6917,-96.5417,gas,72.0,948,POINT COMFORT 2,60459.0,matched_all
7075,29.723185,-95.128856,other,45.0,955,HOUSTON 10,50304.0,matched_all
7075,29.723185,-95.128856,other,45.0,955,HOUSTON 10,50304.0,matched_all
7079,29.75,-94.9256,gas,749.0,956,BAYTOWN 2,3460.0,matched_all
7080,29.75,-94.9256,gas,745.0,956,BAYTOWN 2,3460.0,matched_all
7086,29.739444,-95.194722,other,14.0,959,HOUSTON 16,58870.0,matched_all
7098,28.795,-96.0481,nuclear,1300.0,968,WADSWORTH,6251.0,matched_all
7099,28.795,-96.0481,nuclear,1280.0,968,WADSWORTH,6251.0,matched_all
7107,29.713414,-95.134508,gas,282.0,973,DEER PARK,55464.0,matched_fuel
7108,29.713414,-95.134508,gas,182.0,973,DEER PARK,55464.0,matched_all
7109,29.713414,-95.134508,gas,182.0,973,DEER PARK,55464.0,matched_all
7110,29.713414,-95.134508,gas,182.0,973,DEER PARK,55464.0,matched_all
7111,29.713414,-95.134508,gas,182.0,973,DEER PARK,55464.0,matched_all
7112,29.713414,-95.134508,gas,182.0,973,DEER PARK,55464.0,matched_all
7116,29.631324,-96.076894,solar,10.0,974,WALLIS,61867.0,matched_all
