"OWNER RE","RESOURCE NAME","TYPE","SPLIT GEN RESOURCE","DME","DME DUNS","RMR"
"LOWER COLORADO RIVER AUTHORITY (RE)","WIPOPA_WPP_G2","Generation","Not Applicable","LOWER COLORADO RIVER AUTHORITY (DME)","0432268857000","N"
"LOWER COLORADO RIVER AUTHORITY (RE)","WIPOPA_WPP_G3","Generation","Not Applicable","LOWER COLORADO RIVER AUTHORITY (DME)","0432268857000","N"
"LOWER COLORADO RIVER AUTHORITY (RE)","WIPOPA_WPP_G4","Generation","Not Applicable","LOWER COLORADO RIVER AUTHORITY (DME)","0432268857000","N"
"LOWER COLORADO RIVER AUTHORITY (RE)","WIRTZ_WIRTZ_G1","Generation","Not Applicable","LOWER COLORADO RIVER AUTHORITY (DME)","0432268857000","N"
"LOWER COLORADO RIVER AUTHORITY (RE)","WIRTZ_WIRTZ_G2","Generation","Not Applicable","LOWER COLORADO RIVER AUTHORITY (DME)","0432268857000","N"
"LUCKY BLUFF BESS LLC (RE)","LUCKYBLU_ESR1","Storage","Not Applicable","LUCKY BLUFF BESS LLC (DME)","1194083077000","N"
"LUMINANT GENERATION COMPANY LLC (RE)","DCSES_CT10","Generation","Not Applicable","LUMINANT ENERGY COMPANY LLC (DME)","6062523937000","N"
"LUMINANT GENERATION COMPANY LLC (RE)","DCSES_CT20","Generation","Not Applicable","LUMINANT ENERGY COMPANY LLC (DME)","6062523937000","N"
"LUMINANT GENERATION COMPANY LLC (RE)","DCSES_CT30","Generation","Not Applicable","LUMINANT ENERGY COMPANY LLC (DME)","6062523937000","N"
"LUMINANT GENERATION COMPANY LLC (RE)","DCSES_CT40","Generation","Not Applicable","LUMINANT ENERGY COMPANY LLC (DME)","6062523937000","N"
"LUMINANT GENERATION COMPANY LLC (RE)","GRSES_UNIT1","Generation","Not Applicable","LUMINANT ENERGY COMPANY LLC (DME)","6062523937000","N"
"LUMINANT GENERATION COMPANY LLC (RE)","GRSES_UNIT2","Generation","Not Applicable","LUMINANT ENERGY COMPANY LLC (DME)","6062523937000","N"
"LUMINANT GENERATION COMPANY LLC (RE)","LHSES_UNIT1","Generation","Not Applicable","LUMINANT ENERGY COMPANY LLC (DME)","6062523937000","N"
"LUMINANT GENERATION COMPANY LLC (RE)","LHSES_UNIT2A","Generation","Not Applicable","LUMINANT ENERGY COMPANY LLC (DME)","6062523937000","N"
"LUMINANT GENERATION COMPANY LLC (RE)","MGSES_CT1","Generation","Not Applicable","LUMINANT ENERGY COMPANY LLC (DME)","6062523937000","N"
"LUMINANT GENERATION COMPANY LLC (RE)","MGSES_CT2","Generation","Not Applicable","LUMINANT ENERGY COMPANY LLC (DME)","6062523937000","N"
"LUMINANT GENERATION COMPANY LLC (RE)","MGSES_CT3","Generation","Not Applicable","LUMINANT ENERGY COMPANY LLC (DME)","6062523937000","N"
"LUMINANT GENERATION COMPANY LLC (RE)","MGSES_CT4","Generation","Not Applicable","LUMINANT ENERGY COMPANY LLC (DME)","6062523937000","N"
"LUMINANT GENERATION COMPANY LLC (RE)","MGSES_CT5","Generation","Not Applicable","LUMINANT ENERGY COMPANY LLC (DME)","6062523937000","N"
"LUMINANT GENERATION COMPANY LLC (RE)","MGSES_CT6","Generation","Not Applicable","LUMINANT ENERGY COMPANY LLC (DME)","6062523937000","N"
