RESOURCE_NODE,UNIT_SUBSTATION,UNIT_NAME
CHEDPW_GT2,CHE,GT2
CHEDPW_GT2,CHE,GT3
CHE_LYD,CHE,CHEGT1
CHE_LYD2,CHE,CHEST1
CHIL_SLR,CHIL_SLR,ESR1
CHIL_SLR,CHIL_SLR,SOLAR1
CHIL_SLR,CHIL_SLR,SOLAR2
CHISMGRD_RN,CHISMGRD,ESR1
CISC_RN,CISC,ESR1
CITRUSCY_RN,CITRUSCY,ESR1
CITYVICT_ALL,CITYVICT,CTG01
CITYVICT_ALL,CITYVICT,CTG02
CLO_RN,CLO,ESR1
CLO_RN,CLO,ESR2
CLO_RN,CLO,ESR3
CLT_RN,CLT,ESR1
CLT_RN,CLT,ESR2
CMPD_SLR_RN,CMPD_SLR,SOLAR1
CMPD_SLR_RN,CMPD_SLR,SOLAR2
CMPD_SLR_RN,CMPD_SLR,SOLAR3
CNLY_ESS_RN,CNLY_ESS,ESR1
CNTRY_RN,CNTRY,ESR1
CNTYRDS_RN,CNTYRDS,ESR1
CN_BRKS_UNT1,CN_BRKS,UNIT_1
COL_COLETOG1,COLETO,COLETOG1
CONIGLIO_RN,CONIGLIO,UNIT1
CONTINEN_RN,CONTINEN,ESR1
CORALSLR_ALL,CORALSLR,ESR1
CORALSLR_ALL,CORALSLR,ESR2
CORALSLR_ALL,CORALSLR,SOLAR1
CORALSLR_ALL,CORALSLR,SOLAR2
CORAZON_RN,CORAZON,ESR1
CORAZON_RN,CORAZON,UNIT1
COTPLNS_RN,COTPLNS,COTTONPL
COTPLNS_RN,COTPLNS,OLDSETLR
COTTON_PAP2,COTTON,PAP2
COTULLA_RN,COTULLA,ESR1
COYANOSA_RN,COYANOSA,UNIT1
COYOTSPR_AGR,COYOTSPR,AGR1
COYOTSPR_RN,COYOTSPR,ESR1
CPSES_UNIT1,CPSES,UNIT1
CPSES_UNIT2,CPSES,UNIT2
CRANELL_ALL,CRANELL,UNIT1
CRAWFISH_RN,CRAWFISH,UNIT1
CROSSETT_ALL,CROSSETT,ESR1
CROSSETT_ALL,CROSSETT,ESR2
CROSSTRL_RN,CROSSTRL,ESR1
CRWN_SLR_UN1,CRWN_SLR,UNIT1
CR_RN,CR,ESR1
CSC_CSECG1_2,CSEC,CSECG1
CSC_CSECG1_2,CSEC,CSECG2
CST1_SLR_RN,CST1_SLR,SOLAR1
