SCEDTimestamp,RepeatedHourFlag,SettlementPoint,LMP
06/25/2026 00:40:18,N,DILEOS_UNIT1,       27.40
06/25/2026 00:40:18,N,DIVR_SLR_RN,       27.34
06/25/2026 00:40:18,N,DKNS_ESS_RN,       27.89
06/25/2026 00:40:18,N,DMA_RN,       27.08
06/25/2026 00:40:18,N,DORA_SLR_RN,       27.65
06/25/2026 00:40:18,N,DOWGEN_PUN1,       27.07
06/25/2026 00:40:18,N,DOWGEN_PUN2,       27.07
06/25/2026 00:40:18,N,DOWGEN_PUN3,       27.07
06/25/2026 00:40:18,N,DOWGEN_PUN4,       27.07
06/25/2026 00:40:18,N,DOWGEN_PUN5,       27.07
06/25/2026 00:40:18,N,DOWGEN_PUN6,       27.07
06/25/2026 00:40:18,N,DOW_61_2_63,       27.07
06/25/2026 00:40:18,N,DOW_64,       27.07
06/25/2026 00:40:18,N,DOW_81_2_84,       27.07
06/25/2026 00:40:18,N,DOW_G37_G35,       27.07
06/25/2026 00:40:18,N,DOW_G66_ST65,       27.07
06/25/2026 00:40:18,N,DOW_G67,       27.07
06/25/2026 00:40:18,N,DOW_G96_ST95,       27.07
06/25/2026 00:40:18,N,DRAK_ESS_RN,       27.51
06/25/2026 00:40:18,N,DRCK_SLR_RN,       27.46
06/25/2026 00:40:18,N,DRYFRIO_RN,       28.77
06/25/2026 00:40:18,N,DSWL_BES1,       27.49
06/25/2026 00:40:18,N,DUKE_CC1,       24.52
06/25/2026 00:40:18,N,DUKE_GST1CCU,       24.52
06/25/2026 00:40:18,N,DUKE_GT2_CCU,       24.52
06/25/2026 00:40:18,N,DUP_PUN1,       26.63
06/25/2026 00:40:18,N,DUP_PUN2,       26.63
06/25/2026 00:40:18,N,DUP_PUN3,       26.63
06/25/2026 00:40:18,N,DUP_PUN4,       26.63
06/25/2026 00:40:18,N,EBELLS_UNIT1,       27.29
06/25/2026 00:40:18,N,EBNY_ESS_RN,       27.06
06/25/2026 00:40:18,N,ECLIPSE_UN1,       28.48
06/25/2026 00:40:18,N,EIFSLR_UNIT1,       27.52
06/25/2026 00:40:18,N,ELB_ELBCREEK,       28.74
06/25/2026 00:40:18,N,ELECTRAW_1_2,       27.75
06/25/2026 00:40:18,N,ELMCRK_RN,       27.64
06/25/2026 00:40:18,N,ELM_ST_RN,       30.75
