settlement_point,lat,lon
V2_DGR1_RN,29.33474,-98.4498
V2_DGR2_RN,29.33474,-98.4498
V2_DGR3_RN,29.33474,-98.4498
V4_DGR1_RN,29.2891,-98.5492
VERT_ESS_RN,29.394265,-95.039847
VORT_ALL_RN,33.10218,-99.30628
W_HRL_ESR_RN,26.179999,-97.725607
WIR_WIRTZ_G1,30.5544,-98.3403
WIR_WIRTZ_G2,30.5544,-98.3403
WZRD_ESS_RN,29.498857,-95.083375
X1_DGR_RN,31.45997,-96.82775
X443ESRN,29.43445,-98.61765
YAPN_SLR_RN,31.0444,-96.8514
Z0_DGR1_RN,29.381931,-98.318462
Z0_DGR2_RN,29.381931,-98.318462
Z5_DGR1_RN,29.3022,-98.3517
ZIER_SLR_ALL,29.350992,-100.562
FLVABES1_ESR,31.197283,-103.3618
