week,hist_days,coverage,total_mass,novel_mass,n_novel_keys,post_rtcb,mass_warmstartable,mass_seen_unfitted,mass_new,share_warmstartable,share_seen_unfitted,share_new,n_warmstartable,n_seen_unfitted,n_new,coverage_ceiling,ceiling_lift,mean_age_days,age_0_30,age_30_90,age_90_180,age_gt180
2026-02-06,546,0.9357229697350486,152445.842,9798.766,133,True,1680.909,5462.166999999998,2655.69,0.17154292693590195,0.5574341707925261,0.2710229022715718,17,71,45,0.946749239641446,0.011026269906397324,130.99638409931768,0.11818843256833057,0.13735187330188606,0.6686066884049047,0.07585300572487862
2026-02-13,553,0.9467820619555584,126570.27399999999,6735.809000000001,166,True,470.7620000000001,4475.002,1790.045,0.06988945203167134,0.6643599900175317,0.265750557950797,27,81,58,0.9505014344837398,0.0037193725281814416,92.98325055973083,0.0,0.62653315263339,0.3522799206393039,0.021186926727305936
2026-02-20,560,0.8852371044373566,85181.704,9775.699,239,True,975.4030000000001,2863.7589999999996,5936.536999999998,0.09977833810144933,0.29294672432119684,0.6072749375773536,37,126,76,0.8966879554323074,0.0114508509949508,163.58551388503005,0.005259364590840914,0.33165881179368933,0.4493065942999969,0.21377522931547271
2026-02-27,567,0.9210860729117136,96561.878,7620.077,215,True,3792.5109999999995,2647.6730000000002,1179.893,0.49769982639283034,0.34746013721383656,0.15484003639333302,31,117,67,0.9603615207235302,0.03927544781181658,126.46826126542548,0.04534884671395813,0.3403022430257948,0.5450634157686028,0.06928549449164417
2026-03-06,574,0.8949216726864203,180051.94300000003,18919.557,232,True,3138.4780000000005,11142.692999999997,4638.3859999999995,0.16588538515991683,0.5889510520780162,0.24516356276206674,38,126,68,0.9123526314847933,0.017430958798372975,87.25906315099228,0.05962253041123754,0.5858384223180787,0.2770696496837001,0.07746939758698324
2026-03-13,581,0.7663521740498784,149465.93600000002,34922.391,215,True,3085.1670000000004,22822.263999999996,9014.960000000003,0.0883435214959938,0.6535137871859917,0.2581426913180143,27,126,62,0.7869934457841953,0.020641271734316846,125.44182729816566,0.0015299009745663684,0.39277776535273445,0.5284897057436436,0.07720262792905537
2026-03-20,588,0.9151913070196471,208514.35600000003,17683.83,259,True,2481.087,8508.220000000001,6694.522999999999,0.14030258151090572,0.48112993621856803,0.37856748227052617,33,132,94,0.9270901855793565,0.011898878559709392,228.49509227205655,0.07149245471843592,0.5026361429486349,0.012048348163526713,0.41382305416940235
2026-03-27,595,0.9375708426000667,201130.746,12556.422999999999,227,True,2270.266,8553.95,1732.207,0.18080515446158515,0.6812409871824167,0.13795385835599838,27,145,55,0.9488583560466682,0.011287513446601505,215.58875259551084,0.0,0.019558060597304458,0.7309751368341859,0.2494668025685096
2026-04-03,602,0.855635685134919,106605.52100000001,15390.033,209,True,1617.1779999999999,7053.029000000001,6719.826,0.10507956675596472,0.45828550205188007,0.43663493119215535,25,95,89,0.8708054247959635,0.015169739661044401,212.27328222372557,0.018918758479276866,0.014542616830058289,0.41291311160552524,0.5536255130851396
2026-04-10,609,0.5136254778902933,166138.026,80805.30300000001,211,True,3444.5540000000005,56762.118000000024,20598.630999999998,0.04262782109733565,0.7024553574163321,0.2549168214863323,23,126,62,0.5343585640050881,0.02073308611479474,309.2103296972554,0.0007429118544810154,9.464215105932436e-05,0.38183666158231205,0.6173257844121475
2026-04-17,616,0.8829420632891047,154687.794,18107.434,204,True,7608.500999999998,9149.894,1349.0389999999998,0.42018659297612226,0.5053114648933692,0.07450194213050837,20,131,53,0.9321282388964703,0.0491861756073656,265.9122407948688,0.0001566668651288868,0.000671354318018753,0.584417482497538,0.41475449631931444
2026-04-24,623,0.6773269722857389,247743.679,79940.203,234,True,7438.367,43412.212,29089.623999999996,0.09304913824149284,0.543058565913324,0.3638922958451832,25,131,78,0.7073514194483242,0.030024447162585344,193.01045673062382,0.005539791193416512,0.01414732561595845,0.6719827080325562,0.30833017515806893
2026-05-01,630,0.867974275287629,140164.36599999998,18505.302,200,True,2922.8399999999997,7009.334000000001,8573.127999999999,0.15794608485719389,0.37877436423355865,0.46327955090924744,31,107,62,0.8888272216063817,0.020852946318752674,113.58350918969221,0.033670334332361676,0.5154644113259707,0.349409820585458,0.10145543375620973
2026-05-08,637,0.7951779705954282,98283.764,20130.68,196,True,1852.1319999999998,11751.121000000001,6527.427,0.0920054364780524,0.5837418805524702,0.3242526829694774,23,109,64,0.8140227108111162,0.01884474021568805,130.63619817593994,0.11019462975641048,0.17160817911466353,0.6568376336027886,0.061359557526137455
2026-05-15,644,0.8786075204653492,176096.92200000002,21376.841999999997,167,True,1144.246,10897.421000000002,9335.175,0.05352736386412924,0.509776935246095,0.436695700889776,31,92,44,0.8851053398877693,0.006497819422420115,52.66811682103324,0.03340977377242306,0.8403245455959646,0.10635038269742693,0.01991529793418548
2026-05-22,651,0.8850094291883847,69803.99300000002,8026.801000000001,157,True,1591.0670000000005,5695.465000000001,740.2689999999999,0.19821931551560829,0.7095560236263488,0.09222466085804291,27,92,38,0.9078027814254122,0.022793352237027498,155.6224049647186,0.36137007429605417,0.06965137231807332,0.11137620225923857,0.4576023511266338
2026-05-29,658,0.9168121820266999,116015.244,9651.055,201,True,1552.161,7016.977000000002,1081.917,0.16082811671884575,0.7270683878601875,0.11210349542096693,37,127,37,0.9301911221252959,0.01337894009859597,70.3952876022526,0.6722582257897215,0.08791613756562625,0.04157880529146138,0.19824683135319082
2026-06-05,665,0.8669984432781885,179236.26299999998,23838.702000000005,164,True,3646.7739999999994,19373.507999999998,818.42,0.15297703708868035,0.8126913956976346,0.034331567213684695,27,114,23,0.8873446273536734,0.02034618407548483,129.27452537503012,0.006820823006854828,0.019172836046324786,0.9203301328790872,0.0536762080677333
2026-06-12,672,0.9292977273292494,171734.81900000002,12142.042,177,True,3015.4200000000005,8303.65,822.9720000000002,0.24834537716143631,0.6838759081874367,0.06777871465112707,38,109,30,0.9468563099018377,0.017558582572588244,227.98713446219762,0.00560883724323643,0.03367623747272353,0.029821716377818008,0.9308932089062221
2026-06-19,679,0.944594185061701,168418.64,9331.372000000001,194,True,2245.2569999999996,3704.9819999999995,3381.1330000000003,0.2406138132741894,0.39704579348031555,0.36234039324549483,41,110,43,0.9579255894715691,0.01333140440986813,187.664041577423,0.0,0.03035821734438419,0.3283588471163881,0.6412829355392279
2026-06-26,686,0.9407882822410132,117300.245,6945.548999999999,132,True,596.38,4743.056,1606.113,0.0858650626465957,0.6828914460181622,0.23124349133524222,28,74,30,0.9458725000958011,0.005084217854787965,103.8096549180053,0.0012441731781749892,0.5511083537341963,0.24406251047989533,0.20358496260773332
