settlement_point,sp_type,lat,lon
JCKCNTY2_CT3,OTHER,33.101,-97.9574
JCKCNTY2_CT4,OTHER,33.101,-97.9574
JCKCNTY2_ST2,OTHER,33.101,-97.9574
JC_BAT_RN,RN,30.300444,-98.398333
JDKNS_RN,RN,31.715592,-102.598106
JKLP_SLR_RN,RN,28.000395,-97.387902
JUNCTION_RN,RN,30.492453,-99.770197
JUNG_SLR_RN,RN,30.903764,-97.05778
JUNORTH_RN,RN,30.516525,-99.767635
JUNO_ALL,OTHER,32.772889,-101.39102
K2_DGR1_RN,RN,31.6035,-94.6555
K2_DGR2_RN,RN,31.6035,-94.6555
KARAKAW1_1,OTHER,28.170179,-97.817507
KARAKAW2_1,OTHER,28.170179,-97.817507
KEECHI_U1,OTHER,33.143056,-98.161111
KEG_RN,RN,26.1957,-98.2384
KELAMSL_U1,OTHER,32.4744,-95.7156
KEO_KEO_SM1,OTHER,30.772575,-102.505808
KINGE_ALL,OTHER,31.2208,-102.1875
KINGW_ALL,OTHER,31.2208,-102.22
KMCHI_CC1,PCCRN,34.6834,-95.9334
KMCHI_CC2,PCCRN,34.6834,-95.9334
KNAPP_RN,RN,32.6194,-101.0522
LACASAWD_RN,RN,32.635105,-98.677196
LACY_CRK_ALL,OTHER,31.729906,-101.29894
LAMESASLR_G,OTHER,32.715611,-101.926522
