interval_ct,settlement_point,lmp,system_lambda,congestion
2025-07-23 01:00:00,CVC_CVC_G2,26.78,26.0907,0.6893
2025-07-23 01:00:00,CVC_CVC_G3,26.78,26.0907,0.6893
2025-07-23 01:00:00,DAG_ALL,26.91,26.0907,0.8193
2025-07-23 01:00:00,DANSBY_ALL,26.64,26.0907,0.5493
2025-07-23 01:00:00,DAN_ALL,27,26.0907,0.9093
2025-07-23 01:00:00,DA_BESS,26.89,26.0907,0.7993
2025-07-23 01:00:00,DA_BESS2,26.89,26.0907,0.7993
2025-07-23 01:00:00,DC2SES_ALL,26.09,26.0907,-0.0007
2025-07-23 01:00:00,DC_E,25.98,26.0907,-0.1107
2025-07-23 01:00:00,DC_L,13.44,26.0907,-12.6507
2025-07-23 01:00:00,DC_N,24.73,26.0907,-1.3607
2025-07-23 01:00:00,DC_R,22.08,26.0907,-4.0107
2025-07-23 01:00:00,DDPEC_CC1,26.81,26.0907,0.7193
2025-07-23 01:00:00,DDPEC_GT1,26.81,26.0907,0.7193
2025-07-23 01:00:00,DDPEC_GT2,26.81,26.0907,0.7193
2025-07-23 01:00:00,DDPEC_GT3,26.81,26.0907,0.7193
2025-07-23 01:00:00,DDPEC_GT4,26.81,26.0907,0.7193
2025-07-23 01:00:00,DDPEC_GT6,26.81,26.0907,0.7193
2025-07-23 01:00:00,DDPEC_ST1,26.81,26.0907,0.7193
2025-07-23 01:00:00,DECKER_GT,27.5,26.0907,1.4093
2025-07-23 01:00:00,DENISON_G1_2,25.96,26.0907,-0.1307
2025-07-23 01:00:00,DERMOTT_ALL,22.09,26.0907,-4.0007
2025-07-23 01:00:00,DGFS_ESR_RN,50.77,26.0907,24.6793
2025-07-23 01:00:00,DIBOL_RN,26.17,26.0907,0.0793
2025-07-23 01:00:00,DIB_CC1,26.81,26.0907,0.7193
2025-07-23 01:00:00,DIB_DIB_G1,26.81,26.0907,0.7193
2025-07-23 01:00:00,DIB_DIB_G2,26.81,26.0907,0.7193
2025-07-23 01:00:00,DIB_DIB_G3,26.81,26.0907,0.7193
2025-07-23 01:00:00,DIB_DIB_G4,26.81,26.0907,0.7193
2025-07-23 01:00:00,DIB_PUN1,26.81,26.0907,0.7193
2025-07-23 01:00:00,DIB_PUN2,26.81,26.0907,0.7193
2025-07-23 01:00:00,DILEOS_UNIT1,26.5,26.0907,0.4093
2025-07-23 01:00:00,DIVR_SLR_RN,26.5,26.0907,0.4093
2025-07-23 01:00:00,DKNS_ESS_RN,22.58,26.0907,-3.5107
2025-07-23 01:00:00,DMA_RN,26.91,26.0907,0.8193
2025-07-23 01:00:00,DOWGEN_PUN1,26.92,26.0907,0.8293
2025-07-23 01:00:00,DOWGEN_PUN2,26.92,26.0907,0.8293
2025-07-23 01:00:00,DOWGEN_PUN3,26.92,26.0907,0.8293
2025-07-23 01:00:00,DOWGEN_PUN4,26.92,26.0907,0.8293
2025-07-23 01:00:00,DOWGEN_PUN5,26.92,26.0907,0.8293
2025-07-23 01:00:00,DOWGEN_PUN6,26.92,26.0907,0.8293
2025-07-23 01:00:00,DOW_61_2_63,26.92,26.0907,0.8293
2025-07-23 01:00:00,DOW_64,26.92,26.0907,0.8293
2025-07-23 01:00:00,DOW_81_2_84,26.92,26.0907,0.8293
2025-07-23 01:00:00,DOW_G37_G35,26.92,26.0907,0.8293
2025-07-23 01:00:00,DOW_G66_ST65,26.92,26.0907,0.8293
2025-07-23 01:00:00,DOW_G67,26.92,26.0907,0.8293
2025-07-23 01:00:00,DOW_G96_ST95,26.92,26.0907,0.8293
2025-07-23 01:00:00,DRCK_SLR_RN,26.13,26.0907,0.0393
2025-07-23 01:00:00,DRYFRIO_RN,33.11,26.0907,7.0193
2025-07-23 01:00:00,DSWL_BES1,26.11,26.0907,0.0193
2025-07-23 01:00:00,DUKE_CC1,21.98,26.0907,-4.1107
2025-07-23 01:00:00,DUKE_GST1CCU,21.98,26.0907,-4.1107
2025-07-23 01:00:00,DUKE_GT2_CCU,21.98,26.0907,-4.1107
2025-07-23 01:00:00,DUP_PUN1,26.88,26.0907,0.7893
2025-07-23 01:00:00,DUP_PUN2,26.88,26.0907,0.7893
2025-07-23 01:00:00,DUP_PUN3,26.88,26.0907,0.7893
2025-07-23 01:00:00,DUP_PUN4,26.88,26.0907,0.7893
2025-07-23 01:00:00,EBELLS_UNIT1,26.74,26.0907,0.6493
2025-07-23 01:00:00,EBNY_ESS_RN,28.21,26.0907,2.1193
2025-07-23 01:00:00,ECLIPSE_UN1,39.52,26.0907,13.4293
2025-07-23 01:00:00,EIFSLR_UNIT1,25.98,26.0907,-0.1107
2025-07-23 01:00:00,ELB_ELBCREEK,29.32,26.0907,3.2293
2025-07-23 01:00:00,ELECTRAW_1_2,24.69,26.0907,-1.4007
2025-07-23 01:00:00,ELMCRK_RN,28.39,26.0907,2.2993
2025-07-23 01:00:00,ELM_ST_RN,52.92,26.0907,26.8293
2025-07-23 01:00:00,ELSAUZ_ALL,21.15,26.0907,-4.9407
2025-07-23 01:00:00,ELSA_ESR_RN,22.11,26.0907,-3.9807
2025-07-23 01:00:00,ELS_RN_1,26.12,26.0907,0.0293
2025-07-23 01:00:00,ELZA_SLR_RN,26.04,26.0907,-0.0507
2025-07-23 01:00:00,EL_RAYO_ALL,22.36,26.0907,-3.7307
2025-07-23 01:00:00,EMPCT_RN,26.04,26.0907,-0.0507
2025-07-23 01:00:00,ENDPARK_ESS1,21.72,26.0907,-4.3707
2025-07-23 01:00:00,ERSL_RN,33.93,26.0907,7.8393
2025-07-23 01:00:00,ESCONDID_ESR,40.02,26.0907,13.9293
2025-07-23 01:00:00,ESTONIAN_ALL,25.98,26.0907,-0.1107
2025-07-23 01:00:00,ETCCS_CC1,26.03,26.0907,-0.0607
2025-07-23 01:00:00,ETCCS_CCU,26.03,26.0907,-0.0607
2025-07-23 01:00:00,EUNICE_ALL,46.82,26.0907,20.7293
2025-07-23 01:00:00,EVLN_ESS_RN,26.84,26.0907,0.7493
2025-07-23 01:00:00,EXGNSND_RN,23.82,26.0907,-2.2707
2025-07-23 01:00:00,EXGNWTL_1,14.36,26.0907,-11.7307
2025-07-23 01:00:00,EXN_14,26.8,26.0907,0.7093
2025-07-23 01:00:00,EXN_1_3,26.8,26.0907,0.7093
2025-07-23 01:00:00,EXN_4,26.8,26.0907,0.7093
2025-07-23 01:00:00,EXN_8,26.8,26.0907,0.7093
2025-07-23 01:00:00,EXN_9_13,26.8,26.0907,0.7093
2025-07-23 01:00:00,EXN_PUN1,26.8,26.0907,0.7093
2025-07-23 01:00:00,EXN_PUN2,26.8,26.0907,0.7093
2025-07-23 01:00:00,EXN_PUN3,26.8,26.0907,0.7093
2025-07-23 01:00:00,E_BLACK_RN,27.39,26.0907,1.2993
2025-07-23 01:00:00,E_HARRIS_RN,22.47,26.0907,-3.6207
2025-07-23 01:00:00,FAGUSSLR_RN,23.5,26.0907,-2.5907
2025-07-23 01:00:00,FALFUR_RN,20.02,26.0907,-6.0707
2025-07-23 01:00:00,FALFUR_RN2,20.02,26.0907,-6.0707
2025-07-23 01:00:00,FAL_FALCONG1,22.67,26.0907,-3.4207
2025-07-23 01:00:00,FAL_FALCONG2,22.67,26.0907,-3.4207
2025-07-23 01:00:00,FAL_FALCONG3,22.67,26.0907,-3.4207
2025-07-23 01:00:00,FAULKNER_RN,52.92,26.0907,26.8293
2025-07-23 01:00:00,FEGC_RN,26.83,26.0907,0.7393
